	Domain	Phylum	Class	Subclass	Order	Suborder	Family	Genus
OTU126	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Enterobacteriales	Enterobacteriales_suborder	Enterobacteriaceae	Salmonella
OTU127	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Moraxella
OTU128	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Chromatiales	Chromatiales_suborder	Chromatiaceae	Rheinheimera
OTU129	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micromonosporineae	Micromonosporaceae	Pilimelia
OTU130	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Aeromonadales	Aeromonadales_suborder	Succinivibrionaceae	Succinivibrio
OTU131	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Hyphomonadaceae	Hyphomonas
OTU132	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU133	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Rhodospirillaceae	Dongia
OTU134	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Acetobacteraceae	Neokomagataea
OTU135	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Arenimonas
OTU136	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Lysobacter
OTU137	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Rhodoplanes
OTU138	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Sinobacteraceae	Nevskia
OTU139	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Micrococcaceae	Rothia
OTU140	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Microbacteriaceae	Clavibacter
OTU141	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Blastochloris
OTU142	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Micrococcaceae	Kocuria
OTU143	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria_incertae_sedis_suborder	Gammaproteobacteria_incertae_sedis_suborder_family	Marinicella
OTU144	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Caulobacteraceae	Brevundimonas
OTU145	Bacteria	Spirochaetes	Spirochaetes	Spirochaetes_subclass	Spirochaetales	Spirochaetales_suborder	Spirochaetaceae	Treponema
OTU146	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Shewanellaceae	Shewanella
